global_position,country_code,team_name,country,global_pnl
5539,IN,Elite Synergy,India,0.0
5539,IN,Important persons,India,0.0
5539,IN,ag_sparsh01,India,0.0
5539,GB,edge,United Kingdom,0.0
5539,IN,Vedant45,India,0.0
5539,IN,Hackbyte,India,0.0
5539,IN,Glacier Farm,India,0.0
5539,IN,Godfathers,India,0.0
5539,IN,Quantum Alpha Hunters,India,0.0
5539,IN,LightningFast,India,0.0
5539,IN,hello1,India,0.0
5539,US,The Resistance,United States,0.0
5539,IN,Big Bull Run,India,0.0
5539,IN,Money talks,India,0.0
5539,IN,QUANTIFERS,India,0.0
5539,SG,Leeisateam,Singapore,0.0
5539,IN,Surya ganta,India,0.0
5539,IN,Varsh,India,0.0
5539,IN,Byte me 3000,India,0.0
5539,IN,Spartans_192,India,0.0
5539,IN,illusion,India,0.0
5539,IN,Mailer,India,0.0
5539,IN,404_Profit not found,India,0.0
5539,GB,user_8888,United Kingdom,0.0
5539,IN,Bug hunters,India,0.0
5539,IN,SubhFast,India,0.0
5539,IN,Arzi,India,0.0
5539,IN,JusticeForGotham,India,0.0
5539,IN,ANOnymou5,India,0.0
5539,AU,Hostile Takeover,Australia,0.0
5539,IN,PeopleWithPurpose,India,0.0
5539,AU,11 Kings,Australia,0.0
5539,IN,TungTungTungSahurr,India,0.0
5539,IN,Beta Reversion,India,0.0
5539,IN,Lkteam,India,0.0
5539,IN,yee,India,0.0
5539,IN,Sinfin,India,0.0
5539,IN,Floquant,India,0.0
5539,CN,Fakeway,China,0.0
5539,NL,BoomIdontknow,Netherlands,0.0
5539,IN,Eldorado,India,0.0
5539,IN,Aspire World,India,0.0
5539,IN,Team-mentory,India,0.0
5539,IN,LoafMax Adi,India,0.0
5539,IN,Enconter,India,0.0
5539,IN,StockX,India,0.0
5539,IN,Rajan coder,India,0.0
5539,US,Itsallgoode,United States,0.0
5539,IN,stonks fever,India,0.0
5539,IN,Dice Rollers,India,0.0
5539,IN,PEAKY_BLINDERS,India,0.0
5539,IN,SIVADHARSHINI,India,0.0
5539,IN,Mangal,India,0.0
5539,IN,Ahhrsa,India,0.0
5539,IN,Edge Cases,India,0.0
5539,IN,Jojotrading,India,0.0
5539,IN,Phase D Traders,India,0.0
5539,IN,svKrish01,India,0.0
5539,IN,Tech Verse,India,0.0
5539,IN,Sonething,India,0.0
5539,IN,Blue ocean,India,0.0
5539,DE,NSGD,Germany,0.0
5539,AU,MoneyTalks,Australia,0.0
5539,IN,Star_Traders,India,0.0
5539,KR,maximas,South Korea,0.0
5539,IN,Maitrix,India,0.0
5539,IN,Intara,India,0.0
5539,IN,ITER,India,0.0
5539,DE,TINE,Germany,0.0
5539,IN,Nexchangers,India,0.0
5539,IN,SNOOZER,India,0.0
5539,GB,polariz,United Kingdom,0.0
5539,IN,Orchestrator,India,0.0
5539,IN,Orgin,India,0.0
5539,IN,Trade Hustlers,India,0.0
5539,IN,Fasoos,India,0.0
5539,IN,abc123,India,0.0
5539,IN,Bright,India,0.0
5539,IN,CureX Coders,India,0.0
5539,IN,Laserbeam_77,India,0.0
5539,IN,casual,India,0.0
5539,IN,AJH,India,0.0
5539,IN,Minute,India,0.0
5539,AT,Vienna Traders,Austria,0.0
5539,IN,Trade Craft,India,0.0
5539,IN,Buy_High_Sell_Low_LLC,India,0.0
5539,GB,dave_temporary_team,United Kingdom,0.0
5539,IN,Cartel Traders,India,0.0
5539,IN,moonshot_alpha_xyz,India,0.0
5539,IN,Infinity Loopers,India,0.0
5539,PL,To the moon sequel,Poland,0.0
5539,IN,NimbuPani,India,0.0
5539,IN,crowd funding system,India,0.0
5539,IN,Keyboard Warriors,India,0.0
5539,IN,BinaryBrain,India,0.0
5539,IN,DeepExplorers,India,0.0
5539,IN,TechSasyam,India,0.0
5539,IN,BinaryBlaze,India,0.0
5539,IN,team_latch,India,0.0
5539,IN,Escalate,India,0.0
5539,IN,RuntimeTerror,India,0.0
5539,IN,Soul creators,India,0.0
5539,AU,Aaron Crasto,Australia,0.0
5539,IN,Phenomenals,India,0.0
5539,IN,kadapa kings,India,0.0
5539,US,ses,United States,0.0
5539,IN,optiver,India,0.0
5539,IN,Despicables,India,0.0
5539,IN,TWD,India,0.0
5539,IN,Simon16,India,0.0
5539,IN,Playnow,India,0.0
5539,IN,Nonameteam,India,0.0
5539,BE,Law Girl,Belgium,0.0
5539,IN,Konoha,India,0.0
5539,IN,Andromeda_2_5,India,0.0
5539,IN,Nalli,India,0.0
5539,IN,Ironclad Capital,India,0.0
5539,IN,TheBigbull,India,0.0
5539,IN,Shreeyansh Pashine,India,0.0
5539,IN,MohansTeam,India,0.0
5539,IN,Whats in a Name,India,0.0
5539,IN,Deep Thought,India,0.0
5539,IN,The Macro Monarchs,India,0.0
5539,IN,beta234,India,0.0
5539,IN,Ruthless,India,0.0
5539,IN,Tattva,India,0.0
5539,IN,GOTHILLA,India,0.0
5539,IN,Volatile,India,0.0
5539,IN,The Ottomans,India,0.0
5539,IN,Loji,India,0.0
5539,DE,Avengersoftheuniverse,Germany,0.0
5539,IN,DESIBOIS,India,0.0
5539,IN,Vyapar,India,0.0
5539,IN,Visored,India,0.0
5539,IN,Divyak,India,0.0
5539,IN,Alpha Predator,India,0.0
5539,IN,Insert Placeholder Text,India,0.0
5539,IN,heloooo,India,0.0
5539,IN,FrankSnoopy,India,0.0
5539,IN,forgeinfire,India,0.0
5539,IN,Alpha Q Bro,India,0.0
5539,IN,forgeinfire1,India,0.0
5539,IN,Sarvesh521,India,0.0
5539,IN,Avi,India,0.0
5539,IN,Hackathon,India,0.0
5539,IN,Deaglehunter,India,0.0
5539,US,NU Gio,United States,0.0
5539,GB,FCB,United Kingdom,0.0
5539,IN,veee,India,0.0
5539,DE,VFBStuttgart,Germany,0.0
5539,IN,Eternal,India,0.0
5539,IN,Api,India,0.0
5539,FR,melissa,France,0.0
5539,IN,Jeevesh R,India,0.0
5539,IN,One Above,India,0.0
5539,IN,arnav_singh,India,0.0
5539,IN,idk_why_im_here,India,0.0
5539,IN,Vijay,India,0.0
5539,IN,Money matters,India,0.0
5539,IN,S-P,India,0.0
5539,IN,Shaaz,India,0.0
5539,IN,VSD,India,0.0
5539,CH,iberoETH,Switzerland,0.0
5539,IN,Bharat_here,India,0.0
5539,IN,Vaibhavi_11,India,0.0
5539,IN,Daveed,India,0.0
5539,IN,12th_man,India,0.0
5539,IN,Team Artists,India,0.0
5539,IN,Azaac,India,0.0
5539,IN,Magpie,India,0.0
5539,IN,Test Drive 2026,India,0.0
5539,IN,Scout-Regiment,India,0.0
5539,IN,IMCSTREET,India,0.0
5539,IN,Kshitij,India,0.0
5539,SG,FlyingPanda,Singapore,0.0
